x, y, z, density
0.190465, -0.455019, -0.317135, 1.000000
0.384940, 0.614160, -0.696936, 0.000000
-0.075813, -0.433229, 0.802255, 0.000000
-0.711884, -0.137452, 0.479784, 0.000000
0.624572, -0.102550, -0.241070, 1.000000
0.465967, 0.452705, 0.665172, 0.000000
0.822502, -0.068724, 0.809917, 0.000000
-0.515045, 0.047673, 0.713140, 0.000000
-0.290726, -0.216101, 0.776798, 0.000000
0.299831, -0.107083, 0.218051, 1.000000
-0.246325, -0.350106, -0.619654, 1.000000
-0.816198, 0.105410, 0.838022, 0.000000
-0.358769, -0.630999, -0.024340, 1.000000
0.326134, -0.088093, -0.764648, 0.000000
-0.677782, 0.492207, -0.383169, 0.000000
-0.418639, -0.148346, 0.661264, 1.000000
-0.665548, -0.457216, -0.720878, 0.000000
-0.532806, -0.459087, 0.195210, 1.000000
-0.307911, -0.590944, 0.476138, 1.000000
-0.456941, 0.169994, 0.867106, 0.000000
-0.499166, 0.596449, -0.343687, 0.000000
0.778767, 0.335669, -0.163158, 0.000000
-0.311135, 0.709941, 0.239878, 1.000000
-0.813112, 0.279189, 0.202707, 0.000000
-0.711911, -0.305953, 0.850623, 0.000000
-0.899876, 0.368528, 0.640798, 0.000000
-0.432603, 0.335050, 0.570421, 1.000000
-0.351729, 0.229316, 0.376866, 1.000000
0.241954, -0.088855, 0.640446, 1.000000
-0.825948, -0.848581, -0.427124, 0.000000
-0.516528, 0.838884, -0.334503, 0.000000
-0.754501, 0.847313, -0.286101, 0.000000
-0.710211, 0.127281, 0.025431, 1.000000
-0.844530, -0.072638, 0.422435, 0.000000
-0.500229, -0.009504, 0.649721, 1.000000
-0.314210, -0.018168, 0.637362, 1.000000
-0.499158, -0.335298, -0.354359, 1.000000
-0.325727, -0.659855, -0.211676, 1.000000
0.491947, -0.250955, 0.265551, 1.000000
0.079580, -0.088042, -0.811384, 0.000000
-0.738896, 0.231740, -0.536514, 0.000000
0.794155, -0.328326, 0.806479, 0.000000
-0.189642, -0.534824, 0.176495, 1.000000
0.292821, 0.643395, -0.759889, 0.000000
0.268432, 0.296931, -0.743677, 0.000000
-0.528332, -0.236844, 0.582543, 1.000000
0.810851, -0.826626, 0.297666, 0.000000
0.542305, -0.895563, -0.640417, 0.000000
-0.707455, -0.854512, -0.230210, 0.000000
-0.396315, 0.777711, 0.627773, 0.000000
0.378036, 0.668920, -0.638721, 0.000000
-0.703821, -0.377273, 0.473545, 0.000000
0.161690, -0.254790, -0.065349, 1.000000
0.209627, -0.695352, -0.565906, 0.000000
0.496838, 0.549806, 0.206358, 1.000000
0.741054, 0.677183, -0.510569, 0.000000
-0.250644, 0.487644, 0.090035, 1.000000
0.270183, -0.561782, 0.147221, 1.000000
-0.507083, -0.728342, -0.245903, 0.000000
0.878624, 0.300443, 0.610540, 0.000000
0.393724, 0.694068, -0.859632, 0.000000
0.015049, -0.418949, 0.265732, 1.000000
-0.384029, 0.568594, -0.419900, 1.000000
0.774396, 0.534204, -0.295019, 0.000000
0.209775, -0.175910, -0.250239, 1.000000
-0.846758, 0.523878, -0.013128, 0.000000
-0.033447, -0.102539, 0.640435, 1.000000
-0.563264, 0.592662, -0.818342, 0.000000
0.087611, 0.168432, -0.505916, 1.000000
-0.687676, -0.176381, -0.278230, 1.000000
0.857203, -0.419692, -0.281060, 0.000000
-0.899486, -0.591574, 0.115641, 0.000000
0.245070, -0.255986, 0.009028, 1.000000
-0.252368, 0.665973, 0.633756, 0.000000
-0.755790, 0.866934, 0.049434, 0.000000
-0.359235, 0.687624, -0.450089, 0.000000
0.615008, 0.221327, 0.222126, 1.000000
-0.491431, 0.035301, 0.712942, 0.000000
-0.249608, 0.504390, -0.807246, 0.000000
-0.284448, -0.655489, -0.486933, 0.000000
0.668319, -0.630400, 0.784911, 0.000000
0.270172, -0.635727, 0.734784, 0.000000
0.669294, 0.031225, 0.534965, 0.000000
-0.726008, 0.734819, -0.103872, 0.000000
0.597609, 0.773991, 0.510790, 0.000000
-0.734825, 0.678701, -0.279246, 0.000000
-0.676745, -0.076014, -0.840140, 0.000000
0.567859, 0.219090, -0.158368, 1.000000
0.810154, -0.801174, -0.194651, 0.000000
-0.333531, 0.108319, -0.106321, 1.000000
-0.781239, -0.586351, -0.450012, 0.000000
-0.254045, -0.523559, 0.544172, 1.000000
0.805082, -0.042453, -0.702121, 0.000000
0.896939, -0.561521, 0.352513, 0.000000
-0.655698, 0.850519, -0.613927, 0.000000
-0.581589, 0.619466, -0.730428, 0.000000
-0.885556, 0.895092, 0.156615, 0.000000
-0.228775, 0.649471, -0.283802, 1.000000
0.068420, 0.165098, -0.213399, 1.000000
0.000305, 0.433618, -0.745795, 0.000000
0.038344, -0.303522, 0.772760, 0.000000
-0.103865, 0.269782, 0.151322, 1.000000
-0.659830, -0.036052, -0.141962, 1.000000
-0.358670, -0.314165, -0.557109, 1.000000
-0.576936, -0.462804, 0.329597, 1.000000
-0.185150, 0.603660, 0.596406, 0.000000
0.051268, 0.046888, 0.863267, 0.000000
-0.790701, -0.521731, 0.036188, 0.000000
-0.436197, -0.556087, 0.806244, 0.000000
0.766618, 0.174780, -0.619912, 0.000000
0.796473, -0.584518, -0.404723, 0.000000
-0.162027, 0.471187, -0.724204, 0.000000
0.473463, 0.388052, -0.808820, 0.000000
-0.899848, -0.493527, -0.364707, 0.000000
0.450183, -0.089585, -0.308416, 1.000000
0.392945, 0.119252, 0.481503, 1.000000
0.602899, 0.339463, -0.324858, 1.000000
-0.727886, 0.342561, -0.180983, 0.000000
-0.683022, 0.892773, 0.468869, 0.000000
-0.274187, -0.803610, 0.899767, 0.000000
-0.169922, -0.137219, -0.857769, 0.000000
0.655487, 0.637755, 0.614523, 0.000000
-0.463059, 0.464090, -0.493634, 1.000000
0.437559, 0.063192, -0.106116, 1.000000
0.375101, -0.744234, 0.580717, 0.000000
0.805929, 0.274806, 0.784050, 0.000000
-0.093050, -0.819033, 0.704902, 0.000000
-0.044720, -0.340015, 0.383465, 1.000000
-0.337596, -0.550188, 0.675291, 0.000000
-0.435963, -0.210982, 0.466137, 1.000000
-0.230409, -0.207095, -0.822287, 0.000000
-0.096713, 0.777306, 0.612677, 0.000000
-0.086980, 0.654144, 0.701541, 0.000000
0.527247, -0.599186, 0.851326, 0.000000
-0.205993, 0.048752, 0.186908, 1.000000
0.058835, 0.043962, 0.412235, 1.000000
0.099243, -0.776181, 0.664626, 0.000000
0.849433, 0.400402, -0.447779, 0.000000
0.256622, -0.077784, 0.416701, 1.000000
-0.058203, -0.040237, -0.208019, 1.000000
0.382815, 0.796209, 0.681288, 0.000000
0.196577, -0.575511, -0.162274, 1.000000
0.391986, 0.808050, 0.554427, 0.000000
-0.136687, 0.350045, 0.237815, 1.000000
0.341893, -0.157789, 0.870143, 0.000000
-0.536496, -0.777491, -0.857546, 0.000000
-0.746889, 0.290512, 0.697908, 0.000000
0.352287, 0.368638, 0.397912, 1.000000
-0.593744, -0.808443, 0.431748, 0.000000
-0.117131, 0.763598, -0.781591, 0.000000
0.494448, -0.551425, 0.021188, 1.000000
0.426867, -0.440566, 0.645968, 0.000000
-0.177993, 0.740469, 0.776376, 0.000000
0.488118, -0.593099, 0.732753, 0.000000
0.431227, -0.193018, 0.076234, 1.000000
0.264479, 0.827675, -0.047825, 0.000000
0.824703, -0.020614, -0.415696, 0.000000
0.840628, -0.690377, -0.552520, 0.000000
0.461832, 0.011361, 0.635592, 1.000000
-0.171567, 0.608788, 0.065289, 1.000000
0.635193, 0.714124, 0.513395, 0.000000
0.198636, -0.083981, -0.588547, 1.000000
0.644105, 0.453813, -0.757463, 0.000000
-0.317449, 0.045166, 0.781409, 0.000000
-0.533783, -0.668963, 0.830098, 0.000000
0.886494, -0.280904, -0.494170, 0.000000
0.250186, 0.547759, -0.734963, 0.000000
-0.563765, 0.257533, 0.194962, 1.000000
-0.342569, 0.314737, 0.665115, 1.000000
0.423164, -0.895194, -0.473869, 0.000000
0.593843, 0.206447, -0.789382, 0.000000
0.242020, 0.110719, -0.056316, 1.000000
0.128340, 0.087798, -0.881483, 0.000000
-0.681839, 0.393535, 0.451889, 0.000000
-0.858683, -0.719794, -0.136723, 0.000000
0.578207, -0.463795, 0.099093, 1.000000
0.078339, 0.371284, -0.461317, 1.000000
-0.201425, 0.188007, 0.388763, 1.000000
0.457456, -0.037105, -0.345162, 1.000000
0.148555, -0.730896, 0.029093, 1.000000
-0.056479, -0.635265, -0.339969, 1.000000
0.825582, 0.652948, -0.054064, 0.000000
0.117627, -0.639356, 0.806278, 0.000000
0.686314, 0.868268, -0.714865, 0.000000
0.395268, -0.427242, -0.619589, 0.000000
-0.207811, 0.639286, 0.452647, 1.000000
-0.736610, -0.745725, 0.797782, 0.000000
-0.425930, -0.126393, -0.146652, 1.000000
-0.263747, -0.856161, 0.028481, 0.000000
-0.455744, 0.623839, -0.526505, 0.000000
-0.251736, -0.509479, 0.698834, 0.000000
0.713220, -0.531735, -0.292151, 0.000000
0.505962, -0.015382, 0.814947, 0.000000
0.874236, -0.612963, -0.753067, 0.000000
-0.088139, -0.267620, 0.782719, 0.000000
-0.262739, -0.230773, 0.044600, 1.000000
0.411295, -0.850623, -0.539414, 0.000000
0.618174, -0.506241, 0.149443, 1.000000
-0.591404, -0.764270, -0.775695, 0.000000
-0.007542, 0.024035, 0.227789, 1.000000
0.627256, -0.125539, 0.629402, 0.000000
-0.007999, -0.141029, -0.502582, 1.000000
0.628108, -0.108840, 0.537817, 0.000000
0.344799, -0.335488, -0.205625, 1.000000
-0.108069, 0.646852, 0.390386, 1.000000
0.310976, 0.179011, 0.596051, 1.000000
0.396851, -0.686807, -0.639509, 0.000000
-0.203428, -0.089246, 0.390402, 1.000000
0.312705, -0.053202, -0.121937, 1.000000
-0.894330, -0.332883, -0.184479, 0.000000
0.369225, -0.449605, -0.891200, 0.000000
-0.672224, 0.384074, -0.755751, 0.000000
-0.827530, 0.613560, -0.634838, 0.000000
-0.437001, 0.048774, 0.315197, 1.000000
-0.197351, 0.684070, -0.160357, 1.000000
-0.114932, -0.440272, -0.109058, 1.000000
-0.077936, -0.192490, 0.266421, 1.000000
0.068245, 0.276239, 0.564483, 1.000000
0.612998, 0.066138, 0.725075, 0.000000
-0.603420, -0.346081, 0.721889, 0.000000
-0.392208, 0.443621, 0.065792, 1.000000
-0.379760, -0.249509, 0.894437, 0.000000
0.523342, 0.497461, -0.826743, 0.000000
-0.865142, -0.578700, -0.365972, 0.000000
0.618148, 0.671480, -0.184348, 0.000000
-0.591987, 0.718421, -0.300251, 0.000000
0.024294, -0.151739, -0.741716, 1.000000
0.203058, 0.509823, -0.472101, 1.000000
0.301574, 0.542771, 0.244015, 1.000000
-0.426946, 0.668350, -0.293304, 0.000000
-0.046204, -0.475814, 0.132277, 1.000000
-0.081551, -0.245490, -0.108345, 1.000000
-0.512195, 0.852808, -0.055715, 0.000000
-0.619895, 0.070479, -0.351789, 1.000000
0.206899, -0.324345, -0.269738, 1.000000
0.383357, -0.876179, -0.442653, 0.000000
0.818730, -0.652405, -0.332888, 0.000000
0.206298, -0.716896, 0.147581, 1.000000
-0.849988, -0.086205, 0.575128, 0.000000
0.178851, -0.614845, -0.376007, 1.000000
-0.372554, -0.883762, -0.821123, 0.000000
-0.178663, -0.633059, -0.553549, 0.000000
0.469201, 0.799093, 0.079858, 0.000000
-0.604988, 0.833215, -0.458705, 0.000000
0.094244, -0.339681, 0.738719, 0.000000
-0.087760, -0.495964, -0.133551, 1.000000
0.378394, 0.675950, -0.058655, 1.000000
-0.223453, -0.826310, -0.005944, 0.000000
0.293481, 0.077226, 0.423092, 1.000000
0.702855, -0.001236, -0.400522, 1.000000
-0.221669, -0.224886, 0.000196, 1.000000
-0.671057, -0.274531, -0.831267, 0.000000
0.338502, 0.897519, 0.684073, 0.000000
0.235947, 0.399462, 0.859337, 0.000000
-0.699237, 0.179035, -0.876007, 0.000000
0.697753, -0.730578, 0.661787, 0.000000
0.720509, -0.291170, -0.115495, 1.000000
0.046364, 0.493654, -0.802698, 0.000000
0.648493, -0.219138, 0.592778, 0.000000
-0.332472, -0.532549, -0.435503, 1.000000
-0.022559, 0.055655, -0.457731, 1.000000
-0.400379, 0.033960, -0.516832, 1.000000
-0.667950, 0.219091, -0.466504, 0.000000
-0.830822, -0.593908, -0.724239, 0.000000
-0.805120, -0.270607, 0.450855, 0.000000
-0.189569, 0.839460, 0.423999, 0.000000
-0.877217, -0.451736, -0.243101, 0.000000
0.487247, -0.171202, -0.743510, 0.000000
0.583898, 0.691412, 0.895911, 0.000000
-0.192424, 0.091881, 0.747572, 1.000000
0.552382, 0.245572, 0.266374, 1.000000
0.479198, 0.132791, -0.512659, 1.000000
0.141506, -0.483370, -0.510000, 1.000000
-0.148195, -0.225716, 0.321582, 1.000000
-0.851712, -0.218207, -0.551331, 0.000000
0.372517, -0.632541, 0.617642, 0.000000
0.768875, -0.212073, -0.744439, 0.000000
-0.008365, -0.876940, -0.492785, 0.000000
-0.162971, -0.579520, -0.776747, 0.000000
0.405213, -0.408056, -0.200788, 1.000000
-0.855812, -0.746408, -0.134653, 0.000000
0.049847, 0.663744, 0.742729, 0.000000
-0.600664, 0.179545, 0.425581, 1.000000
0.876114, 0.423770, -0.366865, 0.000000
0.177765, 0.459420, -0.317456, 1.000000
0.307547, -0.405268, -0.112527, 1.000000
-0.168475, -0.746237, -0.206586, 1.000000
0.635121, -0.167741, 0.768847, 0.000000
-0.446393, 0.799549, 0.819544, 0.000000
-0.804552, 0.881603, -0.526347, 0.000000
0.424840, -0.180163, -0.353142, 1.000000
-0.190986, 0.106819, 0.250355, 1.000000
-0.384157, -0.490861, 0.540494, 1.000000
-0.638289, -0.116619, -0.686091, 0.000000
0.390989, -0.627858, 0.735991, 0.000000
0.691268, -0.571964, 0.460047, 0.000000
-0.002238, 0.148405, 0.702584, 1.000000
0.288267, 0.387020, -0.168762, 1.000000
-0.037224, 0.233382, 0.544184, 1.000000
0.293550, -0.883601, -0.894382, 0.000000
-0.089818, 0.351611, -0.835019, 0.000000
0.578267, 0.284701, 0.515267, 0.000000
-0.471352, 0.611432, 0.311077, 0.000000
-0.502135, 0.294826, 0.875943, 0.000000
-0.198836, -0.234748, 0.157435, 1.000000
-0.543439, 0.761649, 0.409123, 0.000000
0.136079, -0.035181, 0.854008, 0.000000
-0.508076, -0.154682, 0.464030, 1.000000
0.582408, 0.649688, 0.282312, 0.000000
0.703117, 0.379774, 0.628328, 0.000000
-0.663157, -0.827998, -0.131908, 0.000000
-0.030422, 0.808298, 0.777781, 0.000000
-0.546890, -0.013687, -0.216774, 1.000000
0.571671, -0.140984, -0.383667, 1.000000
-0.860897, 0.875124, -0.066295, 0.000000
0.780740, 0.137423, -0.859095, 0.000000
0.387382, 0.834178, -0.218188, 0.000000
-0.280597, -0.060845, -0.587576, 1.000000
0.398538, 0.619077, -0.406104, 0.000000
0.255394, -0.260860, -0.630251, 1.000000
0.079407, 0.379053, 0.612199, 1.000000
-0.573273, -0.725132, 0.562682, 0.000000
0.514558, -0.149982, 0.052626, 1.000000
0.849621, -0.742939, -0.051349, 0.000000
0.379153, -0.459463, 0.833482, 0.000000
0.543442, 0.422479, 0.150831, 1.000000
0.104986, 0.624304, 0.405309, 1.000000
0.327465, 0.798595, -0.106129, 0.000000
0.453180, 0.105831, 0.757978, 0.000000
0.466829, 0.665030, 0.680469, 0.000000
0.090128, -0.400419, 0.268891, 1.000000
-0.793069, -0.264151, 0.870808, 0.000000
0.247622, -0.084566, -0.253129, 1.000000
0.259802, -0.396931, -0.310475, 1.000000
-0.146677, 0.452927, -0.141866, 1.000000
0.234614, -0.599953, 0.282081, 1.000000
-0.544578, 0.887653, 0.666575, 0.000000
0.598547, 0.864675, -0.825274, 0.000000
-0.275724, 0.110428, 0.535752, 1.000000
0.362121, -0.644652, 0.281802, 1.000000
0.718918, 0.768113, -0.453450, 0.000000
0.824944, 0.291693, -0.588096, 0.000000
0.638750, 0.634781, -0.480919, 0.000000
0.609015, 0.073721, -0.522425, 1.000000
-0.380432, -0.007912, 0.793055, 0.000000
-0.061838, 0.309154, 0.101872, 1.000000
-0.610757, -0.443263, -0.019500, 1.000000
-0.270848, 0.843104, -0.706443, 0.000000
0.682247, 0.082114, -0.721690, 0.000000
0.035905, -0.535071, -0.129737, 1.000000
0.043516, 0.686263, 0.143200, 1.000000
-0.842099, -0.215705, 0.783129, 0.000000
-0.450142, 0.784594, -0.047521, 0.000000
-0.523185, -0.831020, 0.522997, 0.000000
-0.137267, -0.530703, 0.018799, 1.000000
-0.505181, -0.217313, -0.367329, 1.000000
-0.530923, -0.394859, 0.583958, 0.000000
0.324454, -0.048640, 0.089935, 1.000000
-0.194043, 0.076979, 0.232483, 1.000000
-0.263744, -0.792951, 0.480294, 0.000000
-0.140388, -0.611764, 0.392174, 1.000000
-0.855984, 0.142689, 0.030209, 0.000000
-0.780069, -0.397501, -0.808779, 0.000000
-0.388753, -0.715064, 0.138530, 0.000000
-0.555775, -0.495318, 0.471138, 0.000000
0.194969, -0.593386, 0.659387, 0.000000
-0.610993, -0.115066, -0.090444, 1.000000
-0.361799, 0.834531, 0.357355, 0.000000
-0.391417, 0.368362, -0.170181, 1.000000
-0.344557, 0.032636, -0.428110, 1.000000
0.010178, -0.702563, -0.471440, 0.000000
0.172331, -0.871386, 0.159152, 0.000000
-0.670693, -0.573174, 0.197403, 0.000000
-0.066311, -0.408314, 0.130978, 1.000000
0.397105, -0.727436, 0.337443, 0.000000
0.824643, 0.639204, 0.218321, 0.000000
-0.017553, 0.740207, 0.758737, 0.000000
-0.493049, -0.615647, -0.705325, 0.000000
0.868663, 0.117860, -0.536111, 0.000000
-0.806695, -0.063528, -0.826950, 0.000000
0.277963, 0.093536, -0.712006, 1.000000
0.458856, 0.368206, -0.476824, 1.000000
-0.771974, -0.215294, -0.134195, 0.000000
0.312973, 0.821979, -0.251153, 0.000000
-0.182071, 0.891717, -0.813847, 0.000000
0.131843, -0.657344, -0.532208, 0.000000
0.711647, 0.881570, -0.403214, 0.000000
0.385105, -0.511401, -0.384833, 1.000000
0.586008, -0.086670, -0.018714, 1.000000
0.588960, -0.401662, -0.803447, 0.000000
-0.324517, 0.841150, -0.400915, 0.000000
0.851391, -0.462943, -0.021739, 0.000000
0.091662, 0.426355, -0.525348, 1.000000
0.220087, 0.312021, 0.328887, 1.000000
0.180407, 0.282521, -0.370234, 1.000000
-0.487548, 0.057198, -0.693080, 0.000000
0.378889, 0.170543, 0.568200, 1.000000
-0.077596, 0.876896, 0.006985, 0.000000
-0.265807, -0.762892, 0.535698, 0.000000
-0.491922, -0.398111, 0.892909, 0.000000
0.026592, -0.825344, 0.003891, 0.000000
0.378440, -0.532945, -0.320801, 1.000000
0.414203, -0.844679, -0.813797, 0.000000
-0.081429, 0.743184, 0.081998, 1.000000
-0.753713, -0.674074, -0.850199, 0.000000
-0.133045, -0.069209, -0.477416, 1.000000
0.446473, -0.738135, 0.610759, 0.000000
-0.380334, -0.000970, -0.005225, 1.000000
0.731328, -0.873770, 0.393754, 0.000000
0.688849, -0.114355, -0.623687, 0.000000
-0.348055, 0.024588, -0.761432, 0.000000
0.000522, 0.263025, -0.036018, 1.000000
-0.730008, 0.359387, 0.676033, 0.000000
-0.260282, 0.378024, 0.529561, 1.000000
-0.516269, -0.067344, 0.492853, 1.000000
-0.662020, -0.200906, -0.631102, 0.000000
0.099765, -0.227395, -0.662022, 1.000000
-0.628061, 0.652278, -0.466371, 0.000000
-0.359769, -0.439210, -0.371755, 1.000000
0.817277, 0.428056, -0.858920, 0.000000
0.119539, 0.728938, -0.837584, 0.000000
0.609751, 0.053893, 0.865003, 0.000000
0.509977, -0.252029, -0.202165, 1.000000
-0.291957, -0.204640, 0.252910, 1.000000
0.745808, 0.706067, -0.636397, 0.000000
0.371195, 0.609702, -0.604866, 0.000000
-0.264991, -0.132969, 0.528864, 1.000000
0.568044, -0.015437, 0.364626, 1.000000
-0.018033, 0.533873, -0.737304, 0.000000
-0.426061, -0.809886, -0.771298, 0.000000
-0.209236, 0.661613, -0.527992, 0.000000
0.131617, -0.546915, -0.552316, 1.000000
-0.827107, 0.669067, 0.749853, 0.000000
-0.433845, 0.164825, 0.410496, 1.000000
-0.768272, 0.835199, 0.394118, 0.000000
-0.829214, 0.810753, -0.699458, 0.000000
-0.204053, 0.803120, 0.729036, 0.000000
-0.647874, 0.553292, -0.359737, 0.000000
0.209555, -0.167886, 0.604141, 1.000000
0.415586, -0.235521, -0.061959, 1.000000
-0.275698, 0.384161, -0.487681, 1.000000
0.530386, 0.844560, -0.830520, 0.000000
-0.351040, 0.798183, 0.671932, 0.000000
-0.069907, 0.494722, -0.826507, 0.000000
-0.250104, -0.523697, 0.553392, 1.000000
0.645771, 0.717737, 0.231714, 0.000000
0.674275, 0.869111, -0.248993, 0.000000
0.418813, 0.679832, 0.644704, 0.000000
0.267112, -0.192705, -0.175691, 1.000000
-0.013028, 0.731254, -0.183787, 1.000000
-0.411370, 0.103873, -0.288371, 1.000000
0.598933, -0.836060, 0.603507, 0.000000
-0.600240, -0.058017, -0.598477, 0.000000
-0.354554, 0.090388, -0.294720, 1.000000
0.213243, -0.346340, -0.438037, 1.000000
0.559686, 0.703435, -0.425198, 0.000000
0.488496, 0.816859, -0.789174, 0.000000
-0.562549, 0.752756, 0.386389, 0.000000
-0.733932, -0.578330, 0.572052, 0.000000
-0.866825, 0.322602, 0.474674, 0.000000
-0.671938, 0.408355, 0.194887, 1.000000
-0.579339, -0.511770, 0.734820, 0.000000
-0.605755, 0.644805, -0.821061, 0.000000
0.536359, 0.298986, -0.649613, 0.000000
-0.596435, 0.868495, -0.795723, 0.000000
-0.027999, 0.222993, -0.719990, 1.000000
0.266811, -0.361481, 0.422439, 1.000000
0.028794, 0.444021, 0.261138, 1.000000
-0.214350, 0.276898, 0.602360, 1.000000
0.504561, 0.868965, -0.502473, 0.000000
-0.575294, -0.267999, 0.225879, 1.000000
0.072479, 0.724916, 0.228830, 1.000000
-0.102046, -0.833125, -0.466249, 0.000000
0.856772, -0.171748, 0.567849, 0.000000
0.366303, 0.555933, -0.320435, 1.000000
0.543384, 0.220891, -0.645623, 0.000000
-0.303459, -0.295021, 0.737173, 0.000000
0.771144, -0.614244, 0.611228, 0.000000
0.844518, -0.332198, -0.200284, 0.000000
0.421186, 0.148746, 0.865488, 0.000000
-0.032039, 0.173342, -0.457367, 1.000000
0.651994, -0.296531, 0.094289, 1.000000
0.805392, 0.216430, -0.197773, 0.000000
0.656761, 0.117576, 0.001630, 1.000000
-0.071431, -0.406246, 0.365378, 1.000000
0.278086, 0.221353, -0.360174, 1.000000
0.505362, -0.379930, 0.630557, 0.000000
-0.682561, -0.744791, -0.790549, 0.000000
-0.821141, -0.172435, 0.159683, 0.000000
0.712235, -0.395466, -0.439056, 0.000000
-0.467887, 0.534446, 0.519712, 0.000000
-0.142514, 0.818495, -0.071021, 0.000000
0.212340, -0.851137, -0.343918, 0.000000
0.510492, -0.739634, -0.510063, 0.000000
-0.495453, 0.598963, -0.476301, 0.000000
-0.007148, 0.435507, -0.040927, 1.000000
-0.260377, -0.814765, -0.231159, 0.000000
-0.005300, 0.719907, -0.520107, 0.000000
0.582977, 0.749018, -0.019673, 0.000000
0.755932, -0.062164, 0.087568, 1.000000
0.342181, 0.521911, 0.058956, 1.000000
0.209833, -0.486704, -0.647787, 0.000000
-0.819852, -0.533542, 0.717779, 0.000000
0.722575, 0.439993, 0.536663, 0.000000
-0.858595, -0.258811, -0.148064, 0.000000
0.480350, 0.514532, 0.323642, 1.000000
-0.193061, -0.883508, -0.239135, 0.000000
0.439598, 0.202138, 0.433402, 1.000000
0.491178, 0.464666, -0.779681, 0.000000
0.723821, 0.511992, 0.136875, 0.000000
0.801013, -0.247829, 0.111099, 0.000000
0.105672, -0.316025, -0.411495, 1.000000
0.718175, 0.745768, -0.515110, 0.000000
0.613246, 0.532808, -0.510341, 0.000000
-0.029304, 0.491887, 0.782715, 0.000000
0.520629, -0.462737, -0.023447, 1.000000
-0.207608, -0.247222, -0.047054, 1.000000
-0.165685, -0.691731, 0.717830, 0.000000
0.890823, -0.821145, -0.397252, 0.000000
0.288713, 0.366115, 0.091385, 1.000000
0.748822, 0.178015, 0.168230, 1.000000
-0.677268, 0.226198, 0.062733, 1.000000
-0.130689, 0.695699, -0.334065, 1.000000
-0.560228, -0.785473, -0.437436, 0.000000
-0.031505, -0.506899, -0.126984, 1.000000
0.677826, -0.675500, 0.845859, 0.000000
-0.785218, -0.107954, 0.100138, 1.000000
-0.820719, -0.245332, -0.084242, 0.000000
-0.364508, 0.039680, -0.582725, 1.000000
0.050601, 0.773281, 0.174642, 1.000000
-0.796503, 0.275597, -0.791587, 0.000000
-0.494424, -0.681362, -0.357781, 0.000000
0.547310, -0.811361, -0.299076, 0.000000
-0.611487, 0.019592, -0.890437, 0.000000
-0.111529, 0.183821, -0.206845, 1.000000
-0.653563, 0.607409, 0.819504, 0.000000
-0.829953, 0.120878, -0.410360, 0.000000
-0.692653, -0.479405, 0.722346, 0.000000
0.667037, -0.064692, 0.728786, 0.000000
-0.536639, -0.201301, -0.799516, 0.000000
0.688746, -0.435041, -0.176830, 0.000000
0.108293, -0.774825, 0.550577, 0.000000
0.438766, 0.055924, 0.558786, 1.000000
0.039144, -0.615685, 0.618689, 0.000000
0.866428, 0.375055, -0.698956, 0.000000
-0.311417, -0.589030, 0.329662, 1.000000
-0.813727, -0.816099, -0.606120, 0.000000
-0.565996, 0.024798, -0.475560, 1.000000
-0.080071, 0.191936, 0.765667, 1.000000
-0.070888, -0.789397, 0.163080, 0.000000
